id,branch_type,pay_grade,abbreviation,name
9f7a2276-df22-4773-ba17-42ed2f4ccde8,USA,E-1,PV1,Private
218e8ff1-cccf-4422-a051-2d4c8fa9f676,USA,E-2,PV2,Private
19c6d9bc-a43b-493c-ac46-ea3efaa439da,USA,E-3,PFC,Private First Class
97824733-5ddc-4862-8444-0d8c06a73d91,USA,E-4,SPC,Specialist
9590ae4d-4278-4ff0-a3b8-b0cf0d2df039,USA,E-5,SGT,Sergeant
6765f404-6b0d-422b-87af-339e5b7527f2,USA,E-6,SSG,Staff Sergeant
97794e34-9f50-4b38-bbbe-09c59bfefd5e,USA,E-7,SFC,Sergeant First Class
af6b4452-1d6b-4ff0-9587-82b592aaa609,USA,E-8,MSG,Master Sergeant
d7313c65-fcf5-4657-9d6c-c8b593abf91b,USA,E-9,SGM,Sergeant Major
71e224d9-3260-4eb6-8cf6-fb017b58d05e,USA,W-1,WO1,Warrant Officer 1
9b006dea-256c-41f9-ba4c-65a72b0c5fa0,USA,W-2,CW2,Chief Warrant Officer 2
d5e9912e-9cc0-4c9c-b4f4-bc430f0e21b2,USA,W-3,CW3,Chief Warrant Officer 3
0c26b742-1724-4c49-bfa8-c6280eddf567,USA,W-4,CW4,Chief Warrant Officer 4
3211ccca-acb9-4891-8265-4a0e00d4bb54,USA,W-5,CW5,Chief Warrant Officer 5
6de4dc17-120b-4568-9632-9a9b82cdf948,USA,O-1,2LT,Second Lieutenant
d076de0f-da3b-425c-828f-804234cd31ac,USA,O-2,1LT,First Lieutenant
632c1661-d908-4901-ab6b-589f773f6879,USA,O-3,CPT,Captain
69ee9058-f9d4-4d38-8f09-807322a38b8a,USA,O-4,MAJ,Major
06b47068-0c2b-45c3-a252-6018b3ba86e9,USA,O-5,LTC,Lieutenant Colonel
d0160d88-43ca-452e-961c-c6faf9b45011,USA,O-6,COL,Colonel
e5aa111d-6b89-4c2a-a2a3-504749174364,USA,O-7,BG,Brigadier General
8e561c0a-141b-4c50-a5fd-0e72a49578a0,USA,O-8,MG,Major General
